Stand med samlede fødder,Moa seogi
Stand med samlede hæle,Dwitchook moa seogi
Parallel stand,Naranhi seogi
Heste stand,Joochoom seogi
Lang stand,Apgoobi
Kort stand,Apseogi
Standard klar stand,Gibon joonbi seogi
Lav sektion adskille blokering,Arae hechyeo makki
Lav sektion blokering,Arae makki
Midter sektion blokering,Momtong makki
Midter sektion blokering over bagerste ben,Momtong an makki
Høj sektion blokering,Eolgul makki
Høj sektion slag fra hoften,Eolgul jireugi
Midter sektion slag fra hoften,Momtong jireugi
Lav sektion slag fra hoften,Arae jireugi
Nedadgående spark,Naeryeo chagi
Udadgående spark,Bakkat chagi
Indadgående spark,An chagi
Front spark,Ap chagi
Knytnæve,Gibon joonbi seogi
Slag fra hoften,Gibon joonbi seogi
Spark,Gibon joonbi seogi
Fremad/front,Gibon joonbi seogi
Indadgående/inderside,Gibon joonbi seogi
Udadgående/yderside,Gibon joonbi seogi
Lav sektion,Gibon joonbi seogi
Midter sektion,Gibon joonbi seogi
Høj sektion,Gibon joonbi seogi
Indtag ret stand,Gibon joonbi seogi
Bukke/hilse,Gibon joonbi seogi
Klar,Gibon joonbi seogi
Stop,Gibon joonbi seogi
Vend 180 grader,Gibon joonbi seogi
Slap af,Gibon joonbi seogi
Taekwondo dragt,Gibon joonbi seogi
Træningssal,Gibon joonbi seogi
Træner under 1. dan,Gibon joonbi seogi
Instruktør 1.-3. dan,Gibon joonbi seogi
Instruktør 4.-5. dan,Gibon joonbi seogi
Hils på nationalflag,Gibon joonbi seogi
Se bilag 1,Gibon joonbi seogi
Se bilag 2,Gibon joonbi seogi
Hvilestand,Pyeonhi seogi
Udadgående blokering i midter sektion,Momtong bakkat makki
Slag samme hånd/ben,Bandae jireugi
Slag modsat hånd/ben,Baro jireugi
"Udadgående slag med knivhånd, håndryg opad",Sonnal eolgul bakkat chigi
Cirkelspark med vrist,Baldeung dollyo chagi
Hånd,Pyeonhi seogi
Håndkant,Pyeonhi seogi
Vrist,Pyeonhi seogi
Underside af hæl,Pyeonhi seogi
Slag,Pyeonhi seogi
Dreje,Pyeonhi seogi
Grundteknik,Pyeonhi seogi
Sammensatte grundteknikker,Pyeonhi seogi
Dansk Taekwondo Forbund,Pyeonhi seogi
1 (koreansk),Pyeonhi seogi
2 (koreansk),Pyeonhi seogi
3 (koreansk),Pyeonhi seogi
4 (koreansk),Pyeonhi seogi
1 (sino-koreansk),Pyeonhi seogi
2 (sino-koreansk),Pyeonhi seogi
Baglæns stand,Dwit goobi
Udadgående blokering med inderside af underarm,An palmok momtong bakkat makki
"Indadgående knivhånds slag i høj sektion, håndryg nedad",Sonnal eolgol an chigi
"Slag mod hals (modsat arm og ben), håndfladen opad",Hansonnal jebipoom mok chigi
Knivhåndsblokering (ene hånd ved solar plexus),Sonnal momtong makki
Udadgående enkelt knivhånds blokering i midter sektion,Hansonnal momtong bakkat makki
Dobbelt slag,Doobon jireugi
Sidespark,Yeop chagi
Cirkelspark hvor der rammes med fodballe,Apchook dollyo chagi
Arm,Dwit goobi
Håndled,Dwit goobi
Inderside af håndled,Dwit goobi
Yderside af håndled,Dwit goobi
Fodkant,Dwit goobi
Fodballe,Dwit goobi
Svaleteknik,Dwit goobi
Hals,Dwit goobi
Side,Dwit goobi
5 (koreansk),Dwit goobi
3 (sino-koreansk),Dwit goobi
World Taekwondo Federation,Dwit goobi
European Taekwondo Union,Dwit goobi
Dyb stand,Nachueo seogi
Svaleteknik slag mod hals,Jebipoom mok chigi
Nedadgående presse blokering med håndrod,Batangson momtong nulleo makki
Fremadgående slag med bagside af knytnæve,Deung joomeok ap chigi
Fingerstik med lodret håndstilling,Pyeonsonkeut seweo chireugi
Enkelt knivhåndsblokering til siden i midtersektion,Hansonnal momtong yeop makki
Baglæns spark,Dwit chagi
Halvmånespark,Bandal chagi
Skubspark,Mireo Chagi
Bagside af knytnæve,Nachueo seogi
Knytnæve i lodret position,Nachueo seogi
Håndrod,Nachueo seogi
Håndryg,Nachueo seogi
Fingerspidser,Nachueo seogi
Fingerstik,Nachueo seogi
Fodsål,Nachueo seogi
Stik,Nachueo seogi
Dobbelt,Nachueo seogi
Skubbe,Nachueo seogi
"Kampråb - ki = energi, hap = samle",Nachueo seogi
6 (koreansk),Nachueo seogi
4 (sino-koreansk),Nachueo seogi
Imaginær kamp (se bilag 3),Nachueo seogi
Begynd,Nachueo seogi
Break,Nachueo seogi
Fortsæt,Nachueo seogi
Højre stand,Oreun seogi
Venstre stand,Oen seogi
Forlæns krydsstand,Ap koa seogi
Baglæns krydsstand,Dwit koa seogi
Nedadgående slag med yderside af knytnæve,Me joomeok momtong naeryeo chigi
Cirkel albuestød (indadgående),Palkoop dollyo chigi
Albue pletslag,Palkoop pyojeok chigi
Sidelæns slag fra hofte,Yeop jireugi
Vridespark,Biteureo chagi
Bøje-stræk spark hvor der rammes med underside af hæl,Bbeodeo chagi
To spark efter hinanden med først det ene og så det andet ben (samme teknik),Ieo chagi
Flere forskellige spark med samme ben,Seokeo chagi
Stamp / tramp / pulverisere,Jijjikgi
Underside af håndled,Dwit koa seogi
Yderside af knytnæve,Dwit koa seogi
Albue,Dwit koa seogi
Ben,Dwit koa seogi
Knæ,Dwit koa seogi
Plet,Dwit koa seogi
7 (koreansk),Dwit koa seogi
5 (sino-koreansk),Dwit koa seogi
Vride blokering med enkelt knivhånd,Hansonnal eolgul biteureo makki
Udadgående blokering i høj sektion,Eolgul bakkat makki
Indadgående håndrodsblokering i midtersektion,Batangson momtong makki
Flyvespark med forreste ben,Twieo chagi
Trampe spark,Gulleo chagi
To spark efter hinanden med først det ene og så det andet ben (forskellige teknikker),Ieo seokeo chagi
Spark med kropsdrejning,Momdollyo chagi
Sving spark,Hooryeo chagi
Stand med samlede tæer og hæle drejet 45 grader udad,Dwit koa seogi
Hvilestand med fødder drejet indad,Dwit koa seogi
Tåspidser,Dwit koa seogi
Hæl,Dwit koa seogi
Krop,Dwit koa seogi
8 (koreansk),Dwit koa seogi
6 (sino-koreansk),Dwit koa seogi
"""Start en kamp"" (se bilag 6)",Dwit koa seogi
Tigerstand,Beom seogi
Dækket næve klarstand,Bo joomeok joonbi seogi
Håndrods blokering med støtte,Batangson geodeureo momtong anmakki
Krydshånds blokering i lav sektion,Eotgeoreo arae makki
Sakse blokering,Gawi makki
Dobbelt slag med knytnæver med håndfladerne opad,Doo joomeok jeochyeo jireugi
Udadgående adskille blokering,Momtong hechyeo makki
Slag med bagside af knytnæve i høj sektion med støtte,Geodeureo deung joomeok eolgul ap chigi
Udadgående slag med bagside af knytnæve,Deung joomeok bakkat chigi
Indadgående håndrodsblokering i midtersektion,Batangson momtong an makki
Flere ens spark med samme ben,Geodeup chagi
Pletspark,Pyojeok chagi
Krogspark,Nakeo chagi
Knæstød,Mooreup chigi
Kattenæve,Bo joomeok joonbi seogi
Dobbelt knytnæve,Bo joomeok joonbi seogi
Dækket næve,Bo joomeok joonbi seogi
Bjørnehånd,Bo joomeok joonbi seogi
Spidsstand,Bo joomeok joonbi seogi
Støtte,Bo joomeok joonbi seogi
Kryds,Bo joomeok joonbi seogi
Saks,Bo joomeok joonbi seogi
9 (koreansk),Bo joomeok joonbi seogi
10 (koreansk),Bo joomeok joonbi seogi
7 (sino-koreansk),Bo joomeok joonbi seogi
Blokering i midtersektion med støtte,Geodeureo momtong makki
Blokering i lav sektion med støtte,Geodeureo arae makki
Halv bjerg blokering,Oesanteul makki
Træk med en hånd og opadgående slag med den anden hånd mod hage,Danggyeo teok jireugi
"To spark efter hinanden i luften, hvor det første er et ""falsk spark""",Doobal dangsang chagi
Kastanjenæve,Bo joomeok joonbi seogi
Inderside af fod,Bo joomeok joonbi seogi
Spids hestestand,Bo joomeok joonbi seogi
Kort hestestand,Bo joomeok joonbi seogi
Hage,Bo joomeok joonbi seogi
Trække,Bo joomeok joonbi seogi
Bjerg,Bo joomeok joonbi seogi
Halvt bjerg,Bo joomeok joonbi seogi
8 (sino-koreansk),Bo joomeok joonbi seogi
Se bilag 4,Bo joomeok joonbi seogi
Dobbelt knivhåndsblokering i lav sektion,Sonnal arae makki
Lav blokering med knivhånd,Hansonnal arae makki
Nedadgående albuestød,Palkoop naereyo chigi
Opadgående albuestød,Palkoop ollyo chigi
To spark efter hinanden i luften med først det ene og så det andet ben (samme teknik),Twieo ieo chagi
Pincetnæve,Bo joomeok joonbi seogi
Omvendt knivhånd,Bo joomeok joonbi seogi
Sakse fingerstik,Bo joomeok joonbi seogi
Fingerstik med en finger,Bo joomeok joonbi seogi
Fingerstik med to samlede fingre,Bo joomeok joonbi seogi
Fingerstik med tre samlede fingre,Bo joomeok joonbi seogi
